source_file,subject_id,study_id,session_id,voice,humanness_rating,word_1,word_2,word_3,word_4,word_5,cognitive_1,behavioral_1,affective_1,cognitive_2,affective_2,behavioral_2,understood,age,gender,ethnicity,language,education,enjoy,payment,comments
swb3c9f3uu.csv,69cff429bb84c7afcf70990d,6a4006e2dbfd0dc33ffaa39b,6a42a3dce7f1c122f1158663,vince_duglus,0,Rainbow,Water,Light,Prism,Color,2,4,3,3,3,3,,,Male,White,English,Graduated college,Better than average study,The payment was fair,
tanzy5bcey.csv,66ebb15a94fdc9a7583e78a5,6a4006e2dbfd0dc33ffaa39b,6a42a49a6d9895d772f0494c,riley,0,Artificial,spectrum,fake,colors,red,4,5,5,4,4,4,TRUE,75.0,female,white,english,Some college,Average study,The payment was fair,
thk7y83c5v.csv,69f890892bf2b3103da5f02d,6a4006e2dbfd0dc33ffaa39b,6a42a3906d8fe0a5ae6ea606,grampa_werthers,97,Sunlight,Rainbow,Rain,Sky,Sun,4,5,5,4,5,5,TRUE,28.0,Male,Black,English,Graduated college,Better than average study,The payment was fair,
tzdqa8acol.csv,69dc36008c70f0cb522934dc,6a4006e2dbfd0dc33ffaa39b,6a42a30b56f0b0033219110b,gracie_valley,69,Happy,Fun,Joyful,Energetic,Enthusiastic,4,4,4,5,4,4,TRUE,38.0,Male,White,English,Graduated college,Better than average study,The payment was fair,Thank you!
uuwo3a9rhh.csv,5e4f1b00508a16000b0978ff,6a4006e2dbfd0dc33ffaa39b,6a42a37626d98cd675faa5e2,zuri,100,woman,city,urban,smooth,sweet,4,5,5,5,4,5,TRUE,35.0,female/woman,white,english,Graduated college,Better than average study,The payment was fair,
uxf52j0p59.csv,6705bf2688ed88bcafd57446,6a4006e2dbfd0dc33ffaa39b,6a42aadbbce3964f1c4314b9,xiaoxi,100,teacher,instructor ,Story Teller,Explainer ,Guider ,5,5,5,5,5,5,TRUE,34.0,Male,White & Native American,English,Graduated college,Average study,The payment was fair,None!
v41qdv6l6c.csv,698131d58ccd103588cb5ca6,6a4006e2dbfd0dc33ffaa39b,6a42a9049fc15ea042d9d0a4,zuri,84,educated,smart,culture,female,curious,3,4,4,3,3,4,TRUE,29.0,female,white,English,Graduated college,Average study,The payment was fair,
vb2n69anje.csv,676f9074e64ab87848a30331,6a4006e2dbfd0dc33ffaa39b,6a42a3db4812928544823155,whytee,63,rainbow,explanation,science,thorough,credible,4,4,4,4,4,4,TRUE,53.0,male,asian,english,Hold a higher degree,Average study,The payment was fair,
vuz55q9nyo.csv,6a1c990b43838fd3a302fedf,6a4006e2dbfd0dc33ffaa39b,6a42a569551efc3a782aaab9,maria_moody,85,Woman,Wise,Older,Scripted,Clear,2,2,1,1,1,1,TRUE,27.0,Woman,White,English,Hold a higher degree,Average study,The payment was fair,
w77x00br5w.csv,62b0b6c050a175081568bf35,6a4006e2dbfd0dc33ffaa39b,6a42a3f2951ae0a9a9aa1ed0,grampa_werthers,99,Science,Documentary,School,Cartoon ,Rainbow ,4,5,5,4,4,3,TRUE,48.0,Male,White - Caucasian ,English ,Graduated college,Better than average study,The payment was fair,None
w9yomy4y0j.csv,5f194a197aab0b1bba4a7636,6a4006e2dbfd0dc33ffaa39b,6a42a742addff7d871fdd33f,xiaoxi,83,Clear ,Smart ,Attentive ,Descriptive ,Confident ,2,1,1,2,1,2,TRUE,28.0,Female ,"White, Hispanic","English, Spanish ",Some college,Average study,The payment was fair,
wv44fz7tkc.csv,694587bf33d102941b804de3,6a4006e2dbfd0dc33ffaa39b,6a42a3ed9e8ebf7ebcc9031f,john,77,raspy,dude,surfer,stoked,weed,2,2,1,2,2,1,TRUE,62.0,Woman,White,English ,Some college,Better than average study,The payment was fair,None
xqpx332f2r.csv,663a5c96bf6c0f72730b22d5,6a4006e2dbfd0dc33ffaa39b,6a42a35a6b731727428d0bf1,vince_duglus,100,calm,percise,dreamy,cadence,quality,2,1,3,2,2,1,TRUE,30.0,Female,white,English,Graduated college,Average study,The payment was fair,
y7upskt20k.csv,6629e9bbe0147a7cf2f25f33,6a4006e2dbfd0dc33ffaa39b,6a42a3649b9e742b3b158660,riley,67,knowledgeable,scientist,kind,detailed,confident,2,1,2,1,2,1,TRUE,32.0,woman,white & middle eastern,russian and english,Some college,Average study,The payment was fair,
y8fd1qofl4.csv,6a01df41373893c58f2011b5,6a4006e2dbfd0dc33ffaa39b,6a42a3dc7582f078df68c252,gracie_valley,66,Snooty,Annoying,Fake,Blonde,Unintelligent,3,2,3,4,3,2,TRUE,29.0,Female,African American,English,Hold a higher degree,Average study,The payment was fair,
ynnu2zr132.csv,6a0e4042a44c36bffb75affb,6a4006e2dbfd0dc33ffaa39b,6a42a4ce2f347686ede175f9,xiaoxi,20,Rainbow ,Two ends ,Light,Colors,Reflecting ,4,3,4,4,3,3,TRUE,31.0,Female,White,English ,Graduated high school,Average study,The payment was fair,
yz2h4ws97v.csv,6995128bd75ec09b6e8b6973,6a4006e2dbfd0dc33ffaa39b,6a42a36cbeaa52849d6b6db2,whytee,66,Rainbow,Clouds,Sunshine,Rain,Weather,3,3,3,3,4,3,,,,White,English,Graduated high school,Better than average study,The payment was too low,
z1dzrygjwu.csv,5ced8f96a726ed0015d31452,6a4006e2dbfd0dc33ffaa39b,6a42a35d2f347686ede175ea,zuri,82,rainbow,horizon,beautiful,light,woman,2,2,2,2,2,1,TRUE,39.0,male,caucasian,English,Hold a higher degree,Average study,The payment was fair,No
zkqukg3gqk.csv,6a020d19e0ee5c35da7d3566,6a4006e2dbfd0dc33ffaa39b,6a42a6b7fa3fad0d591a380c,maria_moody,86,Elderly,Feminine,Raspy,Smart,Interesting,3,3,3,3,3,3,TRUE,41.0,Female,Latino,"English, spanish",Graduated college,Better than average study,The payment was fair,
zx6y06ojcv.csv,6a1383e0b9af5351bedb6a01,6a4006e2dbfd0dc33ffaa39b,6a42a2e034e3c88978667298,john,21,Vivid,Dramatic,Euphoric,Soft-spoken,Enthusiastic,2,4,4,2,2,3,TRUE,22.0,Male,Middle Eastern,"English, Persian",Graduated college,Average study,The payment was fair,No further comments.
